Department,Salary,Year
Fire and Rescue Services,"109,561.24",2014
Fire and Rescue Services,"90,791.95",2014
Planning & Development Svcs,"79,754.62",2014
Fire and Rescue Services,"83,709.94",2014
Fire and Rescue Services,"104,040.89",2014
Fire and Rescue Services,"84,741.13",2014
Community Services,"99,051.66",2014
Fire and Rescue Services,"92,213.01",2014
Human Resource Services,"97,918.32",2014
Financial Services,"130,015.98",2014
Engineering Services,"78,554.80",2014
Real Estate & Facilities Mgmt,"87,927.15",2014
Community Services,"91,783.78",2014
Fire and Rescue Services,"93,461.31",2014
Financial Services,"80,412.79",2014
Engineering Services,"81,850.81",2014
Engineering Services,"144,516.16",2014
Engineering Services,"90,773.29",2014
Fire and Rescue Services,"101,267.29",2014
Community Services,"76,070.44",2014
Real Estate & Facilities Mgmt,"187,013.32",2014
Community Services,"90,030.61",2014
Real Estate & Facilities Mgmt,"140,264.37",2014
Fire and Rescue Services,"101,543.84",2014
Engineering Services,"143,380.65",2014
Engineering Services,"88,331.28",2014
Fire and Rescue Services,"75,057.82",2014
Fire and Rescue Services,"110,764.52",2014
Fire and Rescue Services,"80,620.39",2014
Fire and Rescue Services,"109,340.39",2014
Real Estate & Facilities Mgmt,"75,709.32",2014
Fire and Rescue Services,"84,866.84",2014
Board of Parks & Recreation,"80,015.86",2014
Board of Parks & Recreation,"276,870.70",2014
Fire and Rescue Services,"80,403.83",2014
Board of Parks & Recreation,"90,904.91",2014
Fire and Rescue Services,"85,634.87",2014
Engineering Services,"130,830.29",2014
Fire and Rescue Services,"87,282.37",2014
Human Resource Services,"75,632.32",2014
Engineering Services,"84,632.23",2014
Engineering Services,"130,408.58",2014
Fire and Rescue Services,"113,038.44",2014
Engineering Services,"86,003.97",2014
Engineering Services,"78,668.75",2014
Financial Services,"95,998.92",2014
Engineering Services,"109,265.73",2014
Community Services,"91,175.98",2014
Community Services,"90,030.60",2014
Engineering Services,"81,628.62",2014
Fire and Rescue Services,"94,194.54",2014
Fire and Rescue Services,"114,131.16",2014
Community Services,"79,447.65",2014
Community Services,"111,848.63",2014
Fire and Rescue Services,"96,961.03",2014
Engineering Services,"98,780.25",2014
Fire and Rescue Services,"82,694.94",2014
Fire and Rescue Services,"86,415.13",2014
Fire and Rescue Services,"94,410.27",2014
Engineering Services,"75,830.51",2014
Human Resource Services,"90,989.29",2014
Vancouver Public Library Board,"82,333.64",2014
Financial Services,"98,574.14",2014
Engineering Services,"88,155.89",2014
Engineering Services,"77,637.17",2014
Planning & Development Svcs,"85,596.96",2014
Fire and Rescue Services,"98,798.45",2014
Engineering Services,"88,350.19",2014
Real Estate & Facilities Mgmt,"75,119.60",2014
Fire and Rescue Services,"86,601.04",2014
Board of Parks & Recreation,"77,390.32",2014
Fire and Rescue Services,"86,222.85",2014
Vancouver Public Library Board,"87,621.11",2014
Board of Parks & Recreation,"76,833.54",2014
Fire and Rescue Services,"83,816.45",2014
Fire and Rescue Services,"81,987.77",2014
Fire and Rescue Services,"95,420.76",2014
Fire and Rescue Services,"95,936.57",2014
Engineering Services,"88,542.98",2014
Financial Services,"98,939.46",2014
Engineering Services,"87,871.41",2014
Fire and Rescue Services,"97,861.00",2014
Vancouver Public Library Board,"87,954.02",2014
Fire and Rescue Services,"83,009.84",2014
Engineering Services,"98,770.69",2014
Engineering Services,"81,075.60",2014
Fire and Rescue Services,"95,906.29",2014
Fire and Rescue Services,"84,802.71",2014
Financial Services,"83,147.24",2014
Fire and Rescue Services,"86,984.59",2014
Fire and Rescue Services,"83,378.20",2014
Board of Parks & Recreation,"75,880.95",2014
Fire and Rescue Services,"91,656.82",2014
Fire and Rescue Services,"83,431.48",2014
Board of Parks & Recreation,"77,399.81",2014
Fire and Rescue Services,"102,794.28",2014
Community Services,"90,231.02",2014
Engineering Services,"77,240.40",2014
Board of Parks & Recreation,"79,032.25",2014
Fire and Rescue Services,"99,850.39",2014
Engineering Services,"78,917.36",2014
Fire and Rescue Services,"97,423.94",2014
Engineering Services,"87,638.88",2014
Financial Services,"82,259.61",2014
Engineering Services,"78,623.16",2014
Fire and Rescue Services,"82,411.63",2014
Financial Services,"94,452.44",2014
Financial Services,"103,138.36",2014
Financial Services,"76,310.46",2014
Financial Services,"113,501.44",2014
Vancouver Public Library Board,"90,321.26",2014
Real Estate & Facilities Mgmt,"94,810.72",2014
Engineering Services,"82,502.96",2014
Engineering Services,"110,937.06",2014
Real Estate & Facilities Mgmt,"97,256.80",2014
Financial Services,"98,893.20",2014
Planning & Development Svcs,"83,104.62",2014
Engineering Services,"81,187.30",2014
Engineering Services,"111,566.33",2014
Engineering Services,"85,175.34",2014
Vancouver Public Library Board,"77,073.26",2014
Financial Services,"84,113.47",2014
Fire and Rescue Services,"86,045.13",2014
Planning & Development Svcs,"84,240.35",2014
Financial Services,"119,212.65",2014
Engineering Services,"95,899.26",2014
Office of the City Manager,"80,903.83",2014
Financial Services,"145,644.66",2014
Financial Services,"87,526.18",2014
Planning & Development Svcs,"108,230.08",2014
Engineering Services,"76,065.59",2014
Fire and Rescue Services,"85,332.10",2014
Engineering Services,"82,713.04",2014
Community Services,"90,030.60",2014
Financial Services,"75,487.77",2014
Fire and Rescue Services,"115,356.29",2014
Engineering Services,"88,690.02",2014
Fire and Rescue Services,"80,574.73",2014
Financial Services,"111,566.33",2014
Engineering Services,"79,606.66",2014
Engineering Services,"85,865.42",2014
Community Services,"91,444.92",2014
Fire and Rescue Services,"115,629.80",2014
Engineering Services,"76,104.21",2014
Engineering Services,"78,287.68",2014
Engineering Services,"76,348.37",2014
Board of Parks & Recreation,"112,833.36",2014
Real Estate & Facilities Mgmt,"103,992.45",2014
Community Services,"75,996.15",2014
Financial Services,"80,222.68",2014
Engineering Services,"96,180.20",2014
Financial Services,"115,603.30",2014
Board of Parks & Recreation,"76,074.40",2014
Engineering Services,"81,443.67",2014
Financial Services,"108,531.75",2014
Financial Services,"106,796.07",2014
Fire and Rescue Services,"86,359.31",2014
Vancouver Public Library Board,"76,518.60",2014
Engineering Services,"114,856.47",2014
Financial Services,"141,930.54",2014
Office of the City Manager,"76,338.80",2014
Planning & Development Svcs,"76,432.62",2014
Financial Services,"95,901.65",2014
Engineering Services,"112,826.47",2014
Engineering Services,"84,185.27",2014
Board of Parks & Recreation,"76,938.90",2014
Real Estate & Facilities Mgmt,"75,979.23",2014
Fire and Rescue Services,"105,606.05",2014
Fire and Rescue Services,"81,317.34",2014
Planning & Development Svcs,"108,671.87",2014
Financial Services,"84,018.52",2014
Financial Services,"116,091.97",2014
Engineering Services,"80,168.27",2014
Engineering Services,"82,557.98",2014
Engineering Services,"77,927.87",2014
Financial Services,"99,451.66",2014
Engineering Services,"77,933.25",2014
Fire and Rescue Services,"82,270.85",2014
Fire and Rescue Services,"93,774.75",2014
Engineering Services,"100,785.01",2014
Fire and Rescue Services,"83,932.69",2014
Fire and Rescue Services,"96,074.71",2014
Engineering Services,"78,183.41",2014
Planning & Development Svcs,"76,432.63",2014
Fire and Rescue Services,"81,269.10",2014
Fire and Rescue Services,"77,893.71",2014
Planning & Development Svcs,"98,657.74",2014
Fire and Rescue Services,"85,596.51",2014
Real Estate & Facilities Mgmt,"76,575.80",2014
Engineering Services,"76,432.62",2014
Fire and Rescue Services,"86,012.99",2014
Engineering Services,"92,450.65",2014
Community Services,"89,524.33",2014
Engineering Services,"93,721.67",2014
Real Estate & Facilities Mgmt,"78,659.25",2014
Board of Parks & Recreation,"84,961.31",2014
Fire and Rescue Services,"81,978.18",2014
Engineering Services,"78,251.48",2014
Fire and Rescue Services,"105,116.99",2014
Community Services,"91,506.66",2014
Fire and Rescue Services,"95,688.06",2014
Fire and Rescue Services,"103,744.85",2014
Law Department,"294,243.56",2014
Fire and Rescue Services,"100,052.33",2014
Engineering Services,"83,290.35",2014
Fire and Rescue Services,"95,028.13",2014
Fire and Rescue Services,"88,343.01",2014
Engineering Services,"111,104.12",2014
Fire and Rescue Services,"97,955.91",2014
Fire and Rescue Services,"86,347.66",2014
Financial Services,"102,864.77",2014
Engineering Services,"102,557.80",2014
Law Department,"127,685.25",2014
Financial Services,"99,946.41",2014
Fire and Rescue Services,"119,251.74",2014
Fire and Rescue Services,"124,369.43",2014
Planning & Development Svcs,"90,787.91",2014
Office of the City Manager,"92,842.09",2014
Community Services,"88,901.04",2014
Community Services,"89,423.73",2014
Fire and Rescue Services,"116,536.14",2014
Fire and Rescue Services,"84,215.29",2014
Fire and Rescue Services,"87,123.40",2014
Board of Parks & Recreation,"77,230.21",2014
Fire and Rescue Services,"103,066.05",2014
Board of Parks & Recreation,"96,389.87",2014
Vancouver Public Library Board,"81,847.42",2014
Engineering Services,"79,863.84",2014
Engineering Services,"164,470.76",2014
Engineering Services,"118,735.01",2014
Fire and Rescue Services,"90,601.81",2014
Fire and Rescue Services,"83,656.99",2014
Community Services,"89,658.41",2014
Engineering Services,"75,809.34",2014
Fire and Rescue Services,"86,870.50",2014
Vancouver Public Library Board,"83,649.66",2014
Engineering Services,"82,049.48",2014
Engineering Services,"76,882.01",2014
Financial Services,"119,256.40",2014
Fire and Rescue Services,"108,732.87",2014
Fire and Rescue Services,"90,814.74",2014
Planning & Development Svcs,"112,448.00",2014
Engineering Services,"89,540.01",2014
Fire and Rescue Services,"76,421.17",2014
Real Estate & Facilities Mgmt,"85,772.20",2014
Engineering Services,"82,517.61",2014
Engineering Services,"76,938.90",2014
Engineering Services,"97,922.35",2014
Engineering Services,"96,667.17",2014
Fire and Rescue Services,"85,301.89",2014
Fire and Rescue Services,"82,335.24",2014
Vancouver Public Library Board,"97,704.30",2014
Engineering Services,"81,955.41",2014
Fire and Rescue Services,"96,762.41",2014
Fire and Rescue Services,"84,004.82",2014
Fire and Rescue Services,"84,409.50",2014
Financial Services,"103,571.10",2014
Fire and Rescue Services,"96,966.66",2014
Fire and Rescue Services,"79,221.20",2014
Fire and Rescue Services,"87,071.47",2014
Fire and Rescue Services,"89,375.40",2014
Vancouver Public Library Board,"131,567.50",2014
Community Services,"158,670.03",2014
Engineering Services,"87,770.80",2014
Financial Services,"91,638.31",2014
Fire and Rescue Services,"85,441.75",2014
Financial Services,"84,554.08",2014
Fire and Rescue Services,"86,679.85",2014
Fire and Rescue Services,"96,443.93",2014
Financial Services,"98,574.12",2014
Fire and Rescue Services,"89,208.72",2014
Financial Services,"97,595.85",2014
Engineering Services,"81,425.15",2014
Engineering Services,"124,624.13",2014
Engineering Services,"78,641.70",2014
Fire and Rescue Services,"83,261.28",2014
Engineering Services,"99,664.05",2014
Fire and Rescue Services,"82,243.10",2014
Fire and Rescue Services,"105,470.66",2014
Engineering Services,"108,183.67",2014
Fire and Rescue Services,"102,959.70",2014
Financial Services,"115,875.91",2014
Board of Parks & Recreation,"87,885.42",2014
Fire and Rescue Services,"75,675.69",2014
Fire and Rescue Services,"82,694.64",2014
Fire and Rescue Services,"81,883.72",2014
Financial Services,"98,944.63",2014
Engineering Services,"76,420.50",2014
Engineering Services,"120,791.25",2014
Financial Services,"86,937.90",2014
Engineering Services,"116,385.52",2014
Fire and Rescue Services,"85,373.49",2014
Fire and Rescue Services,"77,702.03",2014
Fire and Rescue Services,"92,058.84",2014
Board of Parks & Recreation,"75,809.34",2014
Vancouver Public Library Board,"83,631.06",2014
Financial Services,"83,855.62",2014
Engineering Services,"81,191.26",2014
Real Estate & Facilities Mgmt,"96,516.29",2014
Fire and Rescue Services,"86,960.89",2014
Engineering Services,"77,149.33",2014
City Clerk's Office,"80,587.26",2014
Office of the City Manager,"75,692.82",2014
Community Services,"78,049.43",2014
Fire and Rescue Services,"87,621.32",2014
Law Department,"180,076.19",2014
Office of the City Manager,"90,965.58",2014
Real Estate & Facilities Mgmt,"164,365.49",2014
Financial Services,"113,973.39",2014
Engineering Services,"78,728.57",2014
Engineering Services,"217,406.12",2014
Planning & Development Svcs,"88,336.52",2014
Community Services,"90,030.60",2014
Engineering Services,"128,181.33",2014
Fire and Rescue Services,"138,051.75",2014
Financial Services,"112,735.63",2014
Fire and Rescue Services,"82,215.46",2014
Engineering Services,"80,444.08",2014
Board of Parks & Recreation,"83,447.80",2014
Human Resource Services,"77,717.90",2014
Engineering Services,"128,147.02",2014
Fire and Rescue Services,"101,340.90",2014
Board of Parks & Recreation,"116,662.80",2014
Engineering Services,"111,736.67",2014
Fire and Rescue Services,"85,123.31",2014
Engineering Services,"80,667.45",2014
Vancouver Public Library Board,"76,436.60",2014
Board of Parks & Recreation,"127,999.89",2014
Law Department,"164,024.80",2014
Engineering Services,"112,134.14",2014
Engineering Services,"77,396.90",2014
Financial Services,"84,706.32",2014
Fire and Rescue Services,"184,706.03",2014
Planning & Development Svcs,"105,367.07",2014
Fire and Rescue Services,"104,271.66",2014
Fire and Rescue Services,"98,697.53",2014
Human Resource Services,"100,303.02",2014
Fire and Rescue Services,"82,289.16",2014
Financial Services,"100,381.58",2014
Planning & Development Svcs,"79,809.46",2014
Financial Services,"111,653.97",2014
Fire and Rescue Services,"86,102.40",2014
Financial Services,"85,702.91",2014
Fire and Rescue Services,"91,291.50",2014
Board of Parks & Recreation,"98,511.76",2014
Board of Parks & Recreation,"75,217.88",2014
Fire and Rescue Services,"76,938.61",2014
Fire and Rescue Services,"105,072.58",2014
Engineering Services,"85,601.36",2014
Fire and Rescue Services,"102,867.89",2014
Planning & Development Svcs,"78,227.53",2014
Community Services,"98,321.15",2014
Financial Services,"79,149.15",2014
Community Services,"85,822.14",2014
Engineering Services,"114,031.08",2014
Fire and Rescue Services,"81,499.40",2014
Fire and Rescue Services,"87,000.90",2014
Community Services,"87,451.80",2014
Community Services,"89,524.32",2014
Fire and Rescue Services,"80,490.79",2014
Community Services,"144,447.64",2014
Real Estate & Facilities Mgmt,"110,572.47",2014
Engineering Services,"139,566.33",2014
Engineering Services,"80,866.98",2014
Board of Parks & Recreation,"76,562.69",2014
Fire and Rescue Services,"82,775.97",2014
Real Estate & Facilities Mgmt,"77,137.87",2014
Fire and Rescue Services,"84,157.41",2014
Engineering Services,"94,624.41",2014
Engineering Services,"116,689.95",2014
Engineering Services,"84,214.79",2014
Engineering Services,"75,106.05",2014
Board of Parks & Recreation,"111,651.59",2014
Fire and Rescue Services,"94,125.87",2014
Planning & Development Svcs,"80,995.84",2014
Vancouver Public Library Board,"111,306.36",2014
Community Services,"111,989.27",2014
Board of Parks & Recreation,"99,356.87",2014
Office of the City Manager,"85,899.81",2014
Engineering Services,"79,911.86",2014
Fire and Rescue Services,"170,599.40",2014
Engineering Services,"79,980.93",2014
Human Resource Services,"98,216.63",2014
Planning & Development Svcs,"110,029.96",2014
Board of Parks & Recreation,"75,505.32",2014
Fire and Rescue Services,"100,724.51",2014
Vancouver Public Library Board,"110,308.92",2014
Fire and Rescue Services,"86,333.00",2014
Fire and Rescue Services,"85,790.26",2014
Planning & Development Svcs,"111,398.26",2014
Board of Parks & Recreation,"75,594.85",2014
Fire and Rescue Services,"103,691.55",2014
Fire and Rescue Services,"103,672.25",2014
Fire and Rescue Services,"97,832.94",2014
Real Estate & Facilities Mgmt,"161,069.36",2014
Fire and Rescue Services,"91,396.41",2014
Financial Services,"100,800.31",2014
Vancouver Public Library Board,"78,991.22",2014
Engineering Services,"85,167.45",2014
Fire and Rescue Services,"108,099.28",2014
Community Services,"77,599.25",2014
Fire and Rescue Services,"79,006.05",2014
Engineering Services,"82,354.12",2014
Fire and Rescue Services,"86,259.02",2014
Engineering Services,"80,595.56",2014
Engineering Services,"88,345.40",2014
Engineering Services,"80,726.78",2014
Fire and Rescue Services,"77,318.19",2014
Financial Services,"116,257.11",2014
Real Estate & Facilities Mgmt,"112,490.47",2014
Financial Services,"98,174.10",2014
Engineering Services,"80,524.04",2014
Financial Services,"82,764.45",2014
Fire and Rescue Services,"99,555.30",2014
Fire and Rescue Services,"88,227.22",2014
Fire and Rescue Services,"87,542.18",2014
Board of Parks & Recreation,"96,865.73",2014
Board of Parks & Recreation,"95,785.73",2014
Financial Services,"104,594.12",2014
Fire and Rescue Services,"86,520.23",2014
Fire and Rescue Services,"85,220.96",2014
Engineering Services,"82,074.56",2014
Engineering Services,"81,308.19",2014
Planning & Development Svcs,"78,107.99",2014
Engineering Services,"112,630.23",2014
Vancouver Public Library Board,"139,137.01",2014
Office of the City Manager,"99,175.14",2014
Real Estate & Facilities Mgmt,"98,249.30",2014
Fire and Rescue Services,"99,788.23",2014
Human Resource Services,"76,797.12",2014
Fire and Rescue Services,"75,103.57",2014
Engineering Services,"109,041.25",2014
Financial Services,"85,422.88",2014
Vancouver Public Library Board,"91,589.19",2014
Fire and Rescue Services,"103,959.33",2014
Fire and Rescue Services,"139,943.69",2014
Financial Services,"110,399.22",2014
Board of Parks & Recreation,"110,445.98",2014
Law Department,"172,647.42",2014
Engineering Services,"92,031.09",2014
Fire and Rescue Services,"84,433.55",2014
Engineering Services,"110,446.48",2014
Fire and Rescue Services,"82,385.84",2014
Engineering Services,"89,182.09",2014
Engineering Services,"77,368.37",2014
Board of Parks & Recreation,"75,660.28",2014
Fire and Rescue Services,"86,548.57",2014
Fire and Rescue Services,"101,771.85",2014
Fire and Rescue Services,"90,927.10",2014
Fire and Rescue Services,"109,699.53",2014
Fire and Rescue Services,"81,778.69",2014
Engineering Services,"78,046.34",2014
Board of Parks & Recreation,"98,665.73",2014
Financial Services,"103,641.83",2014
Vancouver Public Library Board,"92,502.58",2014
Real Estate & Facilities Mgmt,"85,667.40",2014
Fire and Rescue Services,"104,565.24",2014
Fire and Rescue Services,"99,914.06",2014
Fire and Rescue Services,"102,053.92",2014
Board of Parks & Recreation,"75,263.26",2014
Fire and Rescue Services,"123,220.70",2014
Engineering Services,"83,367.96",2014
Real Estate & Facilities Mgmt,"76,534.67",2014
Engineering Services,"76,034.53",2014
Financial Services,"79,319.22",2014
Human Resource Services,"128,064.63",2014
Engineering Services,"77,243.47",2014
Board of Parks & Recreation,"96,865.73",2014
Fire and Rescue Services,"82,262.64",2014
Board of Parks & Recreation,"89,596.63",2014
Fire and Rescue Services,"101,686.73",2014
Fire and Rescue Services,"85,334.51",2014
Engineering Services,"85,873.39",2014
Human Resource Services,"98,216.63",2014
Community Services,"110,412.50",2014
Human Resource Services,"98,939.45",2014
Fire and Rescue Services,"86,719.61",2014
Fire and Rescue Services,"85,225.14",2014
Fire and Rescue Services,"95,337.86",2014
Fire and Rescue Services,"98,509.45",2014
Engineering Services,"77,385.60",2014
Law Department,"161,519.15",2014
Fire and Rescue Services,"115,172.25",2014
Law Department,"94,952.02",2014
Board of Parks & Recreation,"75,189.43",2014
Fire and Rescue Services,"92,019.18",2014
Fire and Rescue Services,"96,131.40",2014
Financial Services,"98,273.79",2014
Fire and Rescue Services,"85,769.63",2014
Community Services,"107,364.72",2014
Board of Parks & Recreation,"96,865.73",2014
Fire and Rescue Services,"83,468.58",2014
Fire and Rescue Services,"95,782.40",2014
Fire and Rescue Services,"81,564.09",2014
Fire and Rescue Services,"96,069.42",2014
Engineering Services,"87,578.94",2014
Engineering Services,"93,609.13",2014
Financial Services,"98,428.59",2014
Planning & Development Svcs,"85,845.88",2014
Fire and Rescue Services,"87,809.35",2014
Fire and Rescue Services,"84,336.77",2014
Community Services,"97,832.62",2014
Fire and Rescue Services,"91,676.21",2014
Engineering Services,"78,603.87",2014
Fire and Rescue Services,"90,002.91",2014
Office of the City Manager,"89,182.88",2014
Fire and Rescue Services,"98,575.59",2014
Community Services,"104,775.65",2014
Engineering Services,"77,144.38",2014
Fire and Rescue Services,"103,052.93",2014
Human Resource Services,"111,653.98",2014
Fire and Rescue Services,"154,640.19",2014
Engineering Services,"90,306.32",2014
Engineering Services,"79,411.81",2014
Human Resource Services,"127,071.91",2014
Community Services,"84,128.26",2014
Board of Parks & Recreation,"75,579.54",2014
Fire and Rescue Services,"89,221.39",2014
Fire and Rescue Services,"81,588.92",2014
Fire and Rescue Services,"87,230.01",2014
Engineering Services,"75,366.23",2014
Community Services,"91,029.41",2014
Engineering Services,"82,938.97",2014
Fire and Rescue Services,"81,252.55",2014
City Clerk's Office,"106,500.66",2014
Planning & Development Svcs,"111,342.35",2014
Fire and Rescue Services,"89,244.59",2014
Fire and Rescue Services,"77,276.63",2014
Real Estate & Facilities Mgmt,"110,817.48",2014
Financial Services,"110,914.98",2014
Fire and Rescue Services,"100,694.44",2014
Fire and Rescue Services,"82,741.72",2014
Financial Services,"79,444.50",2014
Law Department,"160,133.26",2014
Community Services,"77,699.52",2014
Board of Parks & Recreation,"102,170.18",2014
Office of the City Manager,"97,855.22",2014
Community Services,"87,663.93",2014
Fire and Rescue Services,"96,249.61",2014
Fire and Rescue Services,"86,329.80",2014
Fire and Rescue Services,"85,387.46",2014
Law Department,"169,286.12",2014
Fire and Rescue Services,"76,029.49",2014
Fire and Rescue Services,"97,169.80",2014
Fire and Rescue Services,"86,631.71",2014
Planning & Development Svcs,"141,570.23",2014
Fire and Rescue Services,"99,420.41",2014
Fire and Rescue Services,"83,947.76",2014
Engineering Services,"98,944.64",2014
Fire and Rescue Services,"84,766.27",2014
Fire and Rescue Services,"81,425.07",2014
Fire and Rescue Services,"104,175.92",2014
Engineering Services,"100,269.02",2014
Engineering Services,"89,353.44",2014
Fire and Rescue Services,"89,084.98",2014
Fire and Rescue Services,"76,514.06",2014
Fire and Rescue Services,"85,174.62",2014
Fire and Rescue Services,"84,032.99",2014
Planning & Development Svcs,"77,126.97",2014
Law Department,"146,581.53",2014
Human Resource Services,"77,318.68",2014
Engineering Services,"88,459.43",2014
Engineering Services,"87,385.04",2014
Vancouver Public Library Board,"81,106.59",2014
Vancouver Public Library Board,"133,634.99",2014
Fire and Rescue Services,"91,210.25",2014
Engineering Services,"97,481.23",2014
Fire and Rescue Services,"99,575.95",2014
Engineering Services,"84,319.31",2014
Vancouver Public Library Board,"96,684.28",2014
Fire and Rescue Services,"103,448.84",2014
Board of Parks & Recreation,"76,161.20",2014
City Clerk's Office,"125,017.66",2014
Board of Parks & Recreation,"96,865.73",2014
Engineering Services,"98,490.46",2014
Engineering Services,"95,766.20",2014
Financial Services,"139,357.69",2014
Engineering Services,"81,306.56",2014
Vancouver Public Library Board,"82,507.54",2014
Fire and Rescue Services,"86,406.68",2014
Fire and Rescue Services,"95,632.67",2014
Fire and Rescue Services,"87,911.14",2014
Vancouver Public Library Board,"79,199.40",2014
Engineering Services,"109,475.73",2014
Fire and Rescue Services,"75,714.39",2014
Community Services,"90,787.93",2014
Financial Services,"88,131.08",2014
Engineering Services,"78,401.24",2014
Financial Services,"89,891.34",2014
Fire and Rescue Services,"96,471.64",2014
Engineering Services,"75,150.40",2014
Engineering Services,"107,640.77",2014
Board of Parks & Recreation,"160,401.20",2014
Engineering Services,"81,991.16",2014
Engineering Services,"76,459.98",2014
Community Services,"89,524.32",2014
Office of the City Manager,"170,859.41",2014
Fire and Rescue Services,"101,825.84",2014
Real Estate & Facilities Mgmt,"76,860.70",2014
Community Services,"90,147.60",2014
Board of Parks & Recreation,"76,098.98",2014
Fire and Rescue Services,"84,262.72",2014
Financial Services,"76,617.92",2014
Real Estate & Facilities Mgmt,"120,086.99",2014
Fire and Rescue Services,"88,732.45",2014
Community Services,"98,321.14",2014
Fire and Rescue Services,"77,147.67",2014
Fire and Rescue Services,"92,876.39",2014
Fire and Rescue Services,"110,205.31",2014
Real Estate & Facilities Mgmt,"75,865.32",2014
Engineering Services,"75,910.32",2014
Fire and Rescue Services,"89,428.34",2014
Engineering Services,"75,635.76",2014
Fire and Rescue Services,"78,145.28",2014
Engineering Services,"108,453.25",2014
Community Services,"85,982.76",2014
Fire and Rescue Services,"84,940.99",2014
Fire and Rescue Services,"91,031.13",2014
Law Department,"162,089.42",2014
Board of Parks & Recreation,"113,061.68",2014
Human Resource Services,"98,845.73",2014
Financial Services,"110,399.22",2014
Fire and Rescue Services,"113,656.64",2014
Fire and Rescue Services,"103,590.08",2014
Community Services,"110,008.99",2014
Engineering Services,"119,179.25",2014
Financial Services,"103,004.57",2014
Fire and Rescue Services,"84,619.21",2014
Financial Services,"138,777.19",2014
Fire and Rescue Services,"86,236.81",2014
Community Services,"98,195.14",2014
Fire and Rescue Services,"82,346.56",2014
Fire and Rescue Services,"80,815.26",2014
Fire and Rescue Services,"80,409.27",2014
Fire and Rescue Services,"105,560.29",2014
Fire and Rescue Services,"83,123.33",2014
Office of the City Manager,"80,841.64",2014
Fire and Rescue Services,"91,787.43",2014
Fire and Rescue Services,"85,520.74",2014
Fire and Rescue Services,"82,971.17",2014
Fire and Rescue Services,"86,131.85",2014
Fire and Rescue Services,"91,767.04",2014
Engineering Services,"77,493.29",2014
Community Services,"112,490.50",2014
Fire and Rescue Services,"87,446.65",2014
Planning & Development Svcs,"111,848.64",2014
Fire and Rescue Services,"88,229.51",2014
Community Services,"92,138.93",2014
Planning & Development Svcs,"104,993.35",2014
Law Department,"175,363.83",2014
Board of Parks & Recreation,"91,913.01",2014
Engineering Services,"82,199.84",2014
Fire and Rescue Services,"117,208.26",2014
Engineering Services,"82,239.10",2014
Fire and Rescue Services,"92,530.20",2014
Community Services,"113,745.23",2014
Board of Parks & Recreation,"77,021.71",2014
Planning & Development Svcs,"110,926.82",2014
Engineering Services,"117,796.85",2014
Human Resource Services,"97,886.02",2014
Real Estate & Facilities Mgmt,"78,534.60",2014
Fire and Rescue Services,"112,056.48",2014
Engineering Services,"98,043.24",2014
Financial Services,"83,632.52",2014
Engineering Services,"76,938.90",2014
Planning & Development Svcs,"88,331.96",2014
Fire and Rescue Services,"79,505.97",2014
Fire and Rescue Services,"101,817.71",2014
Fire and Rescue Services,"81,960.60",2014
Vancouver Public Library Board,"114,823.11",2014
Law Department,"145,162.07",2014
Real Estate & Facilities Mgmt,"79,749.07",2014
Board of Parks & Recreation,"75,124.10",2014
Engineering Services,"83,378.43",2014
Human Resource Services,"76,525.84",2014
Human Resource Services,"98,939.45",2014
Engineering Services,"75,403.57",2014
Real Estate & Facilities Mgmt,"80,912.68",2014
Community Services,"90,147.60",2014
Fire and Rescue Services,"86,900.59",2014
Financial Services,"119,716.81",2014
Real Estate & Facilities Mgmt,"138,419.57",2014
Planning & Development Svcs,"98,225.91",2014
Office of the City Manager,"141,554.93",2014
Planning & Development Svcs,"83,370.90",2014
Fire and Rescue Services,"85,171.34",2014
Fire and Rescue Services,"101,586.99",2014
Community Services,"115,953.66",2014
Financial Services,"99,846.11",2014
Fire and Rescue Services,"104,089.58",2014
Fire and Rescue Services,"81,167.08",2014
Community Services,"93,054.56",2014
Engineering Services,"80,063.56",2014
Fire and Rescue Services,"78,661.56",2014
Fire and Rescue Services,"93,082.45",2014
Fire and Rescue Services,"91,866.13",2014
Board of Parks & Recreation,"140,264.37",2014
Fire and Rescue Services,"93,994.13",2014
Real Estate & Facilities Mgmt,"77,920.86",2014
Board of Parks & Recreation,"110,593.82",2014
Engineering Services,"113,789.21",2014
Fire and Rescue Services,"81,540.72",2014
Planning & Development Svcs,"91,048.97",2014
Engineering Services,"84,292.25",2014
Vancouver Public Library Board,"101,684.92",2014
Vancouver Public Library Board,"112,490.47",2014
Fire and Rescue Services,"83,701.38",2014
Financial Services,"274,211.33",2014
Real Estate & Facilities Mgmt,"79,046.00",2014
Fire and Rescue Services,"88,650.18",2014
Community Services,"83,336.98",2014
Engineering Services,"114,286.56",2014
Engineering Services,"81,492.57",2014
Engineering Services,"87,540.10",2014
Board of Parks & Recreation,"103,419.44",2014
Fire and Rescue Services,"97,757.25",2014
Planning & Development Svcs,"288,015.06",2014
Engineering Services,"81,354.19",2014
Financial Services,"145,600.19",2014
Financial Services,"122,091.09",2014
Engineering Services,"122,355.58",2014
Office of the City Manager,"79,799.14",2014
Fire and Rescue Services,"79,862.21",2014
Fire and Rescue Services,"83,673.08",2014
Planning & Development Svcs,"98,818.42",2014
